# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 14, f = 14, u = 17) of Q_129
#   excess d-diags: { -82, 82 }
#   excess s-diags: { -126, 126 }

# $D = (c_i, r_i)$ with $(r_i) = -64, -62, \ldots, 62, 64$ and $(c_i) = -20$, $-64$, $32$, $-30$, $24$, $-42$, $-4$, $10$, $-44$, $26$, $44$, $40$, $16$, $-22$, $60$, $42$, $-32$, $-46$, $56$, $38$, $2$, $-14$, $-60$, $-54$, $-36$, $54$, $-6$, $4$, $-18$, $-62$, $14$, $50$, $22$, $12$, $-2$, $-16$, $-56$, $46$, $52$, $-58$, $-10$, $0$, $6$, $-26$, $48$, $18$, $-40$, $62$, $-28$, $-48$, $-52$, $58$, $36$, $-50$, $-8$, $34$, $20$, $-34$, $8$, $30$, $-24$, $-38$, $28$, $64$, $-12$ .


dim 129 129

(0, 44)
(2, 0)
(4, 96)
(6, 34)
(8, 88)
(10, 22)
(12, 60)
(14, 74)
(16, 20)
(18, 90)
(20, 108)
(22, 104)
(24, 80)
(26, 42)
(28, 124)
(30, 106)
(32, 32)
(34, 18)
(36, 120)
(38, 102)
(40, 66)
(42, 50)
(44, 4)
(46, 10)
(48, 28)
(50, 118)
(52, 58)
(54, 68)
(56, 46)
(58, 2)
(60, 78)
(62, 114)
(64, 86)
(66, 76)
(68, 62)
(70, 48)
(72, 8)
(74, 110)
(76, 116)
(78, 6)
(80, 54)
(82, 64)
(84, 70)
(86, 38)
(88, 112)
(90, 82)
(92, 24)
(94, 126)
(96, 36)
(98, 16)
(100, 12)
(102, 122)
(104, 100)
(106, 14)
(108, 56)
(110, 98)
(112, 84)
(114, 30)
(116, 72)
(118, 94)
(120, 40)
(122, 26)
(124, 92)
(126, 128)
(128, 52)
