# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 1-cover (e = 16, f = 15, u = 20) of Q_145
#   excess cols: { 2 }
#   excess rows: { 2 }
#   excess s-diags: { -56, 60 }

# $D = (c_i, r_i)$ with $(r_i) = -71, -69, \ldots, -1, 1, 2, 3, 5, \ldots, 69, 71$ and $(c_i) = -31$, $-13$, $-43$, $39$, $-27$, $23$, $1$, $35$, $-51$, $59$, $-23$, $3$, $-39$, $-33$, $65$, $-57$, $25$, $31$, $53$, $-37$, $69$, $-65$, $-29$, $71$, $7$, $51$, $61$, $5$, $11$, $63$, $-9$, $-19$, $-55$, $-61$, $-21$, $-7$, $19$, $2$, $13$, $-59$, $21$, $57$, $-3$, $45$, $-15$, $-5$, $-69$, $-63$, $67$, $-1$, $33$, $49$, $-49$, $-67$, $-25$, $-35$, $55$, $-71$, $-53$, $-47$, $15$, $37$, $-17$, $29$, $47$, $17$, $-45$, $9$, $43$, $-11$, $-41$, $41$, $27$ .


dim 145 145

(1, 41)
(3, 59)
(5, 29)
(7, 111)
(9, 45)
(11, 95)
(13, 73)
(15, 107)
(17, 21)
(19, 131)
(21, 49)
(23, 75)
(25, 33)
(27, 39)
(29, 137)
(31, 15)
(33, 97)
(35, 103)
(37, 125)
(39, 35)
(41, 141)
(43, 7)
(45, 43)
(47, 143)
(49, 79)
(51, 123)
(53, 133)
(55, 77)
(57, 83)
(59, 135)
(61, 63)
(63, 53)
(65, 17)
(67, 11)
(69, 51)
(71, 65)
(73, 91)
(74, 74)
(75, 85)
(77, 13)
(79, 93)
(81, 129)
(83, 69)
(85, 117)
(87, 57)
(89, 67)
(91, 3)
(93, 9)
(95, 139)
(97, 71)
(99, 105)
(101, 121)
(103, 23)
(105, 5)
(107, 47)
(109, 37)
(111, 127)
(113, 1)
(115, 19)
(117, 25)
(119, 87)
(121, 109)
(123, 55)
(125, 101)
(127, 119)
(129, 89)
(131, 27)
(133, 81)
(135, 115)
(137, 61)
(139, 31)
(141, 113)
(143, 99)
