# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 17, f = 17, u = 21) of Q_157
#   excess d-diags: { -116, 116 }
#   excess s-diags: { -144, 144 }

# $D = (c_i, r_i)$ with $(r_i) = -78, -76, \ldots, 76, 78$ and $(c_i) = 32$, $-68$, $42$, $-18$, $-24$, $38$, $-40$, $54$, $24$, $-22$, $-52$, $22$, $-12$, $30$, $-36$, $-30$, $44$, $-70$, $52$, $-78$, $76$, $62$, $68$, $-66$, $-72$, $0$, $-32$, $-38$, $40$, $12$, $48$, $4$, $-2$, $-62$, $60$, $66$, $-64$, $20$, $14$, $-20$, $-6$, $-28$, $-56$, $-8$, $10$, $16$, $-10$, $74$, $6$, $-46$, $-76$, $46$, $56$, $78$, $2$, $-74$, $-48$, $-42$, $72$, $-34$, $-60$, $34$, $28$, $18$, $-4$, $50$, $64$, $58$, $36$, $-58$, $-54$, $-50$, $-44$, $-26$, $-16$, $26$, $70$, $-14$, $8$ .


dim 157 157

(0, 110)
(2, 10)
(4, 120)
(6, 60)
(8, 54)
(10, 116)
(12, 38)
(14, 132)
(16, 102)
(18, 56)
(20, 26)
(22, 100)
(24, 66)
(26, 108)
(28, 42)
(30, 48)
(32, 122)
(34, 8)
(36, 130)
(38, 0)
(40, 154)
(42, 140)
(44, 146)
(46, 12)
(48, 6)
(50, 78)
(52, 46)
(54, 40)
(56, 118)
(58, 90)
(60, 126)
(62, 82)
(64, 76)
(66, 16)
(68, 138)
(70, 144)
(72, 14)
(74, 98)
(76, 92)
(78, 58)
(80, 72)
(82, 50)
(84, 22)
(86, 70)
(88, 88)
(90, 94)
(92, 68)
(94, 152)
(96, 84)
(98, 32)
(100, 2)
(102, 124)
(104, 134)
(106, 156)
(108, 80)
(110, 4)
(112, 30)
(114, 36)
(116, 150)
(118, 44)
(120, 18)
(122, 112)
(124, 106)
(126, 96)
(128, 74)
(130, 128)
(132, 142)
(134, 136)
(136, 114)
(138, 20)
(140, 24)
(142, 28)
(144, 34)
(146, 52)
(148, 62)
(150, 104)
(152, 148)
(154, 64)
(156, 86)
