# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 1-cover (e = 18, f = 17, u = 22) of Q_161
#   excess cols: { 14 }
#   excess rows: { 14 }
#   excess s-diags: { -80, 108 }

# $D = (c_i, r_i)$ with $(r_i) = -79, -77, \ldots, 11, 13, 14, 15, 17, \ldots, 77, 79$ and $(c_i) = 45$, $23$, $29$, $-33$, $-27$, $39$, $9$, $-53$, $-11$, $11$, $61$, $-65$, $37$, $-37$, $-19$, $-61$, $65$, $43$, $-35$, $-39$, $77$, $47$, $-79$, $-29$, $-51$, $1$, $-75$, $71$, $3$, $13$, $-5$, $-77$, $-71$, $55$, $69$, $-23$, $57$, $5$, $15$, $21$, $-17$, $-69$, $-1$, $67$, $-21$, $-15$, $19$, $14$, $51$, $7$, $-3$, $-13$, $79$, $73$, $-49$, $-67$, $-73$, $-59$, $59$, $33$, $-25$, $-47$, $63$, $-55$, $75$, $-63$, $27$, $-31$, $53$, $25$, $31$, $-7$, $-57$, $49$, $-41$, $17$, $-9$, $-43$, $35$, $41$, $-45$ .


dim 161 161

(1, 125)
(3, 103)
(5, 109)
(7, 47)
(9, 53)
(11, 119)
(13, 89)
(15, 27)
(17, 69)
(19, 91)
(21, 141)
(23, 15)
(25, 117)
(27, 43)
(29, 61)
(31, 19)
(33, 145)
(35, 123)
(37, 45)
(39, 41)
(41, 157)
(43, 127)
(45, 1)
(47, 51)
(49, 29)
(51, 81)
(53, 5)
(55, 151)
(57, 83)
(59, 93)
(61, 75)
(63, 3)
(65, 9)
(67, 135)
(69, 149)
(71, 57)
(73, 137)
(75, 85)
(77, 95)
(79, 101)
(81, 63)
(83, 11)
(85, 79)
(87, 147)
(89, 59)
(91, 65)
(93, 99)
(94, 94)
(95, 131)
(97, 87)
(99, 77)
(101, 67)
(103, 159)
(105, 153)
(107, 31)
(109, 13)
(111, 7)
(113, 21)
(115, 139)
(117, 113)
(119, 55)
(121, 33)
(123, 143)
(125, 25)
(127, 155)
(129, 17)
(131, 107)
(133, 49)
(135, 133)
(137, 105)
(139, 111)
(141, 73)
(143, 23)
(145, 129)
(147, 39)
(149, 97)
(151, 71)
(153, 37)
(155, 115)
(157, 121)
(159, 35)
