# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 17, f = 17, u = 23) of Q_165
#   excess d-diags: { -88, 88 }
#   excess s-diags: { -132, 132 }

# $D = (c_i, r_i)$ with $(r_i) = -82, -80, \ldots, 80, 82$ and $(c_i) = -16$, $14$, $-28$, $30$, $-12$, $-30$, $28$, $50$, $-66$, $6$, $-64$, $-14$, $24$, $-38$, $72$, $-70$, $36$, $62$, $-72$, $70$, $80$, $38$, $-44$, $-74$, $54$, $-82$, $-40$, $74$, $48$, $-54$, $-68$, $4$, $-6$, $12$, $44$, $78$, $-18$, $-24$, $10$, $16$, $2$, $32$, $-10$, $58$, $-26$, $-20$, $18$, $-62$, $-76$, $-8$, $-2$, $34$, $-48$, $-34$, $-80$, $-58$, $40$, $66$, $56$, $-42$, $-60$, $-78$, $68$, $82$, $76$, $26$, $52$, $-50$, $60$, $-32$, $-52$, $46$, $-4$, $22$, $-56$, $64$, $8$, $-22$, $20$, $42$, $-36$, $-46$, $0$ .


dim 165 165

(0, 66)
(2, 96)
(4, 54)
(6, 112)
(8, 70)
(10, 52)
(12, 110)
(14, 132)
(16, 16)
(18, 88)
(20, 18)
(22, 68)
(24, 106)
(26, 44)
(28, 154)
(30, 12)
(32, 118)
(34, 144)
(36, 10)
(38, 152)
(40, 162)
(42, 120)
(44, 38)
(46, 8)
(48, 136)
(50, 0)
(52, 42)
(54, 156)
(56, 130)
(58, 28)
(60, 14)
(62, 86)
(64, 76)
(66, 94)
(68, 126)
(70, 160)
(72, 64)
(74, 58)
(76, 92)
(78, 98)
(80, 84)
(82, 114)
(84, 72)
(86, 140)
(88, 56)
(90, 62)
(92, 100)
(94, 20)
(96, 6)
(98, 74)
(100, 80)
(102, 116)
(104, 34)
(106, 48)
(108, 2)
(110, 24)
(112, 122)
(114, 148)
(116, 138)
(118, 40)
(120, 22)
(122, 4)
(124, 150)
(126, 164)
(128, 158)
(130, 108)
(132, 134)
(134, 32)
(136, 142)
(138, 50)
(140, 30)
(142, 128)
(144, 78)
(146, 104)
(148, 26)
(150, 146)
(152, 90)
(154, 60)
(156, 102)
(158, 124)
(160, 46)
(162, 36)
(164, 82)
