# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 1-cover (e = 20, f = 19, u = 24) of Q_177
#   excess cols: { 6 }
#   excess rows: { 6 }
#   excess s-diags: { -120, 132 }

# $D = (c_i, r_i)$ with $(r_i) = -87, -85, \ldots, 3, 5, 6, 7, 9, \ldots, 85, 87$ and $(c_i) = -35$, $23$, $45$, $31$, $-51$, $-17$, $61$, $-53$, $5$, $63$, $-19$, $-9$, $9$, $39$, $29$, $-63$, $-59$, $71$, $-47$, $55$, $-87$, $-33$, $-75$, $51$, $-67$, $-45$, $81$, $87$, $53$, $-73$, $3$, $-85$, $57$, $-11$, $77$, $17$, $11$, $-77$, $27$, $-27$, $-1$, $-15$, $65$, $21$, $-29$, $-49$, $-21$, $6$, $25$, $-5$, $-81$, $-25$, $13$, $19$, $83$, $-13$, $1$, $-83$, $-61$, $69$, $75$, $41$, $59$, $-79$, $-57$, $-39$, $-69$, $33$, $79$, $85$, $67$, $-23$, $35$, $-43$, $73$, $-71$, $-65$, $49$, $43$, $-3$, $15$, $-31$, $7$, $-7$, $-41$, $-55$, $47$, $37$, $-37$ .


dim 177 177

(1, 53)
(3, 111)
(5, 133)
(7, 119)
(9, 37)
(11, 71)
(13, 149)
(15, 35)
(17, 93)
(19, 151)
(21, 69)
(23, 79)
(25, 97)
(27, 127)
(29, 117)
(31, 25)
(33, 29)
(35, 159)
(37, 41)
(39, 143)
(41, 1)
(43, 55)
(45, 13)
(47, 139)
(49, 21)
(51, 43)
(53, 169)
(55, 175)
(57, 141)
(59, 15)
(61, 91)
(63, 3)
(65, 145)
(67, 77)
(69, 165)
(71, 105)
(73, 99)
(75, 11)
(77, 115)
(79, 61)
(81, 87)
(83, 73)
(85, 153)
(87, 109)
(89, 59)
(91, 39)
(93, 67)
(94, 94)
(95, 113)
(97, 83)
(99, 7)
(101, 63)
(103, 101)
(105, 107)
(107, 171)
(109, 75)
(111, 89)
(113, 5)
(115, 27)
(117, 157)
(119, 163)
(121, 129)
(123, 147)
(125, 9)
(127, 31)
(129, 49)
(131, 19)
(133, 121)
(135, 167)
(137, 173)
(139, 155)
(141, 65)
(143, 123)
(145, 45)
(147, 161)
(149, 17)
(151, 23)
(153, 137)
(155, 131)
(157, 85)
(159, 103)
(161, 57)
(163, 95)
(165, 81)
(167, 47)
(169, 33)
(171, 135)
(173, 125)
(175, 51)
