# This work is licensed under the Creative Commons Attribution 4.0 International License.
# To view a copy of the license, visit http://creativecommons.org/licenses/by/4.0/.


# independent 0-cover (e = 18, f = 18, u = 27) of Q_185
#   excess d-diags: { -66, 66 }
#   excess s-diags: { -74, 74 }

# $D = (c_i, r_i)$ with $(r_i) = -92, -90, \ldots, 90, 92$ and $(c_i) = -48$, $-54$, $48$, $58$, $-8$, $30$, $-52$, $14$, $8$, $54$, $-16$, $-46$, $-36$, $-70$, $60$, $-22$, $28$, $50$, $64$, $86$, $80$, $-50$, $-72$, $-34$, $22$, $-86$, $40$, $78$, $-38$, $70$, $-92$, $-78$, $-44$, $0$, $76$, $-90$, $-10$, $16$, $-80$, $-20$, $6$, $20$, $88$, $-4$, $10$, $-74$, $-18$, $24$, $72$, $12$, $-6$, $-24$, $84$, $-62$, $68$, $82$, $-64$, $-82$, $-2$, $4$, $-84$, $90$, $2$, $38$, $-60$, $26$, $-26$, $32$, $92$, $66$, $-32$, $42$, $-88$, $62$, $-68$, $74$, $-76$, $-58$, $44$, $-42$, $36$, $18$, $-28$, $-14$, $-56$, $-66$, $-12$, $46$, $56$, $-30$, $-40$, $34$, $52$ .


dim 185 185

(0, 44)
(2, 38)
(4, 140)
(6, 150)
(8, 84)
(10, 122)
(12, 40)
(14, 106)
(16, 100)
(18, 146)
(20, 76)
(22, 46)
(24, 56)
(26, 22)
(28, 152)
(30, 70)
(32, 120)
(34, 142)
(36, 156)
(38, 178)
(40, 172)
(42, 42)
(44, 20)
(46, 58)
(48, 114)
(50, 6)
(52, 132)
(54, 170)
(56, 54)
(58, 162)
(60, 0)
(62, 14)
(64, 48)
(66, 92)
(68, 168)
(70, 2)
(72, 82)
(74, 108)
(76, 12)
(78, 72)
(80, 98)
(82, 112)
(84, 180)
(86, 88)
(88, 102)
(90, 18)
(92, 74)
(94, 116)
(96, 164)
(98, 104)
(100, 86)
(102, 68)
(104, 176)
(106, 30)
(108, 160)
(110, 174)
(112, 28)
(114, 10)
(116, 90)
(118, 96)
(120, 8)
(122, 182)
(124, 94)
(126, 130)
(128, 32)
(130, 118)
(132, 66)
(134, 124)
(136, 184)
(138, 158)
(140, 60)
(142, 134)
(144, 4)
(146, 154)
(148, 24)
(150, 166)
(152, 16)
(154, 34)
(156, 136)
(158, 50)
(160, 128)
(162, 110)
(164, 64)
(166, 78)
(168, 36)
(170, 26)
(172, 80)
(174, 138)
(176, 148)
(178, 62)
(180, 52)
(182, 126)
(184, 144)
